,tmp_var,amp_var,audio,subject,r_s,r_fs
89,0.09015350576360066,0.0014288240740757093,7.0,6.0,0.025159440176800187,0.027756677914424422
90,0.09015350576360066,0.0014288240740757093,7.0,7.0,0.03826245065907252,0.06622169421766501
91,0.09015350576360066,0.0014288240740757093,7.0,8.0,0.03234406977138684,0.03994625305228928
92,0.09015350576360066,0.0014288240740757093,7.0,9.0,0.025936180507444118,0.02566083447488969
93,0.09015350576360066,0.0014288240740757093,7.0,10.0,0.03229522045059743,0.03561592375282576
94,0.09015350576360066,0.0014288240740757093,7.0,11.0,-0.0018620752200590323,0.008463129028104912
95,0.09015350576360066,0.0014288240740757093,7.0,12.0,0.02715914818366748,0.027380254941554393
96,0.09015350576360066,0.0014288240740757093,7.0,13.0,0.04000667041731042,0.03859856299989523
97,0.09015350576360066,0.0014288240740757093,7.0,14.0,0.07915145204478401,0.08753355304325738
98,0.09003830844421828,0.0014237766702732547,8.0,1.0,0.02199800415083322,0.027213583124714
99,0.09003830844421828,0.0014237766702732547,8.0,2.0,0.028986810080095533,0.045526438790223916
100,0.09003830844421828,0.0014237766702732547,8.0,3.0,0.042642772684680676,0.05230683816950501
101,0.09003830844421828,0.0014237766702732547,8.0,4.0,0.027141359913020968,0.02481201452571541
102,0.09003830844421828,0.0014237766702732547,8.0,5.0,0.006032439056726177,0.011698004012913413
103,0.09003830844421828,0.0014237766702732547,8.0,6.0,0.02807741965587848,0.0343978218869749
104,0.09003830844421828,0.0014237766702732547,8.0,7.0,0.03175965181030977,0.03464571441961114
105,0.09003830844421828,0.0014237766702732547,8.0,8.0,0.05572743535804161,0.05914859477897696
106,0.09003830844421828,0.0014237766702732547,8.0,9.0,0.020636135165199212,0.02125371485743904
107,0.09003830844421828,0.0014237766702732547,8.0,10.0,0.05417120773041906,0.050130134001752896
108,0.09003830844421828,0.0014237766702732547,8.0,11.0,0.040729346853678475,0.0416550547139058
109,0.09003830844421828,0.0014237766702732547,8.0,12.0,0.009612890539578903,0.010597304176342555
110,0.09003830844421828,0.0014237766702732547,8.0,13.0,0.044219971430699646,0.038313229291826005
111,0.09003830844421828,0.0014237766702732547,8.0,14.0,0.07822390532632471,0.08784336685477906
112,0.0935521204573001,0.001700717098365631,9.0,1.0,0.01219892032174207,0.013546872822621417
113,0.0935521204573001,0.001700717098365631,9.0,2.0,0.024502623896801325,0.03669637752687134
114,0.0935521204573001,0.001700717098365631,9.0,3.0,0.05207530790006588,0.05682109010812014
115,0.0935521204573001,0.001700717098365631,9.0,4.0,0.03616151127878384,0.039377400962479665
116,0.0935521204573001,0.001700717098365631,9.0,5.0,0.033466868890130834,0.03601297924076537
117,0.0935521204573001,0.001700717098365631,9.0,6.0,0.037754845334709984,0.04422234537265637
